entity,coupled,degree,average-revs
src/mongo/dbtests/test_sm.vcxproj,src/mongo/dbtests/test_sm.vcxproj.filters,97,42
src/mongo/db/mongod_sm.vcxproj,src/mongo/db/mongod_sm.vcxproj.filters,97,40
src/mongo/db/mongod_sm.vcxproj.filters,src/mongo/dbtests/test_sm.vcxproj.filters,97,40
src/mongo/s/mongos.vcxproj,src/mongo/s/mongos.vcxproj.filters,96,101
src/mongo/s/catalog/catalog_manager_mock.cpp,src/mongo/s/catalog/catalog_manager_mock.h,96,45
src/mongo/s/mongos_sm.vcxproj,src/mongo/s/mongos_sm.vcxproj.filters,96,27
src/mongo/s/catalog/sharding_catalog_manager_mock.cpp,src/mongo/s/catalog/sharding_catalog_manager_mock.h,96,17
src/mongo/db/session_catalog.cpp,src/mongo/db/session_catalog.h,96,17
debian/mongod.1,debian/mongosniff.1,96,15
src/mongo/db/repl/oplog_entry.cpp,src/mongo/db/repl/oplog_entry.h,96,15
src/mongo/db/query/datetime/date_time_support.cpp,src/mongo/db/query/datetime/date_time_support.h,96,15
src/mongo/client/remote_command_targeter_mock.cpp,src/mongo/client/remote_command_targeter_mock.h,96,15
src/mongo/db/op_observer_impl.h,src/mongo/db/op_observer_noop.cpp,96,14
src/mongo/db/op_observer_noop.cpp,src/mongo/db/op_observer_noop.h,96,14
src/mongo/client/remote_command_targeter_standalone.cpp,src/mongo/client/remote_command_targeter_standalone.h,96,13
src/mongo/client/remote_command_targeter_rs.h,src/mongo/client/remote_command_targeter_standalone.cpp,96,13
src/mongo/db/storage/wiredtiger/wiredtiger_customization_hooks.cpp,src/mongo/db/storage/wiredtiger/wiredtiger_customization_hooks.h,96,13
dist/flags.py,src/include/flags.h,95,92
src/mongo/db/mongod_sm.vcxproj.filters,src/mongo/dbtests/test_sm.vcxproj,95,41
src/mongo/db/mongod_sm.vcxproj,src/mongo/dbtests/test_sm.vcxproj.filters,95,41
debian/bsondump.1,debian/mongodump.1,95,12
debian/mongofiles.1,debian/mongos.1,95,12
src/mongo/util/net/sockaddr.cpp,src/mongo/util/net/sockaddr.h,95,12
src/mongo/s/catalog/dist_lock_catalog_mock.cpp,src/mongo/s/catalog/dist_lock_catalog_mock.h,95,12
debian/mongoexport.1,debian/mongos.1,95,12
debian/mongodump.1,debian/mongos.1,95,12
debian/bsondump.1,debian/mongorestore.1,95,12
debian/bsondump.1,debian/mongofiles.1,95,12
debian/mongorestore.1,debian/mongos.1,95,12
debian/bsondump.1,debian/mongoexport.1,95,12
src/mongo/db/auth/privilege.cpp,src/mongo/db/auth/privilege.h,95,11
src/third_party/wiredtiger/dist/stat_data.py,src/third_party/wiredtiger/src/include/stat.h,95,11
src/third_party/wiredtiger/dist/stat_data.py,src/third_party/wiredtiger/src/support/stat.c,95,11
src/mongo/transport/service_entry_point_test_suite.h,src/mongo/transport/transport_layer_manager.h,95,11
src/mongo/dbtests/test.vcxproj,src/mongo/dbtests/test.vcxproj.filters,94,156
rpm/mongodb-enterprise.spec,rpm/mongodb-org.spec,94,134
src/mongo/db/repl/replication_coordinator_mock.cpp,src/mongo/db/repl/replication_coordinator_mock.h,94,104
src/mongo/db/repl/repl_coordinator_legacy.h,src/mongo/db/repl/repl_coordinator_mock.h,94,78
src/mongo/shell/mongo.vcxproj,src/mongo/shell/mongo.vcxproj.filters,94,76
src/mongo/db/repl/repl_coordinator_external_state.h,src/mongo/db/repl/repl_coordinator_external_state_impl.h,94,28
src/mongo/db/matcher/schema/json_schema_parser.cpp,src/mongo/db/matcher/schema/json_schema_parser_test.cpp,94,26
buildscripts/resmokeconfig/suites/sharding.yml,buildscripts/resmokeconfig/suites/sharding_ese.yml,94,17
src/mongo/db/repl/data_replicator_external_state.h,src/mongo/db/repl/data_replicator_external_state_impl.h,94,17
debian/mongooplog.1,debian/mongoperf.1,94,10
src/mongo/db/query/count_request.cpp,src/mongo/db/query/count_request.h,94,10
util/concurrency/synchronization.cpp,util/concurrency/synchronization.h,94,10
src/mongo/s/write_ops/batched_delete_request_test.cpp,src/mongo/s/write_ops/batched_update_request_test.cpp,94,10
debian/mongooplog.1,debian/mongotop.1,94,10
src/mongo/db/auth/privilege_set.cpp,src/mongo/db/auth/privilege_set.h,94,9
src/mongo/idl/idl_parser.cpp,src/mongo/idl/idl_parser.h,94,9
jstests/core/bulk_api_ordered.js,jstests/core/bulk_api_unordered.js,94,9
src/mongo/db/storage/mmap_v1/dur_transaction.h,src/mongo/db/storage/transaction.h,94,9
src/mongo/db/pipeline/accumulator_add_to_set.cpp,src/mongo/db/pipeline/accumulator_push.cpp,94,9
src/mongo/bson/mutable/const_element-inl.h,src/mongo/bson/mutable/const_element.h,94,9
src/mongo/db/exec/limit.cpp,src/mongo/db/exec/skip.cpp,94,9
rpm/mongodb-enterprise-unstable.spec,rpm/mongodb-enterprise.spec,93,138
src/mongo/db/repl/replication_coordinator_external_state.h,src/mongo/db/repl/replication_coordinator_external_state_mock.cpp,93,65
shell/msvc/mongo.vcxproj,shell/msvc/mongo.vcxproj.filters,93,25
src/mongo/shell/mongo_sm.vcxproj,src/mongo/shell/mongo_sm.vcxproj.filters,93,23
bench/wtperf/runners/update-checkpoint-btree.wtperf,bench/wtperf/runners/update-checkpoint-lsm.wtperf,93,16
src/mongo/db/pipeline/document_source_lookup_change_post_image.cpp,src/mongo/db/pipeline/document_source_lookup_change_post_image_test.cpp,93,16
src/mongo/tools/mongofiles_options_test.cpp,src/mongo/tools/mongoimport_options_test.cpp,93,8
src/mongo/tools/mongoexport_options_test.cpp,src/mongo/tools/mongoimport_options_test.cpp,93,8
src/mongo/tools/mongorestore_options_test.cpp,src/mongo/tools/mongostat_options_test.cpp,93,8
jstests/core/profile_count.js,jstests/core/profile_delete.js,93,8
src/mongo/client/authentication_table.cpp,src/mongo/client/authentication_table.h,93,8
jstests/core/profile_delete.js,jstests/core/profile_distinct.js,93,8
src/mongo/tools/mongoimport_options_test.cpp,src/mongo/tools/mongostat_options_test.cpp,93,8
jstests/change_streams/change_stream.js,jstests/change_streams/lookup_post_image.js,93,8
src/mongo/db/fts/fts_language.cpp,src/mongo/db/fts/fts_language.h,93,8
src/mongo/tools/mongofiles_options_test.cpp,src/mongo/tools/mongooplog_options_test.cpp,93,8
src/mongo/s/async_requests_sender.cpp,src/mongo/s/async_requests_sender.h,93,8
src/mongo/db/fts/tokenizer.cpp,src/mongo/db/fts/tokenizer.h,93,8
src/mongo/db/repl/drop_pending_collection_reaper.cpp,src/mongo/db/repl/drop_pending_collection_reaper_test.cpp,93,8
jstests/core/profile_distinct.js,jstests/core/profile_mapreduce.js,93,8
src/mongo/db/repl/oplog_buffer_blocking_queue.cpp,src/mongo/db/repl/oplog_buffer_blocking_queue.h,93,8
bench/wtperf/runners/test2-500m-lsm.wtperf,bench/wtperf/runners/test4-500m-lsm.wtperf,93,8
src/mongo/db/s/balancer/balancer_policy.cpp,src/mongo/db/s/balancer/balancer_policy_test.cpp,93,8
src/mongo/tools/mongooplog_options_test.cpp,src/mongo/tools/mongostat_options_test.cpp,93,8
src/mongo/dbtests/mock/mock_replica_set.h,src/mongo/dbtests/mock_replica_set_test.cpp,93,8
src/mongo/tools/mongofiles_options_test.cpp,src/mongo/tools/mongorestore_options_test.cpp,93,8
buildscripts/package_test/recipes/install_mongodb.rb,buildscripts/package_test/test/recipes/service/install_mongodb_spec.rb,93,8
src/mongo/db/storage/mmap_v1/dur_transaction.cpp,src/mongo/db/storage/mmap_v1/dur_transaction.h,93,8
src/mongo/db/storage/rocks/rocks_transaction.cpp,src/mongo/db/storage/rocks/rocks_transaction.h,93,8
jstests/core/profile_count.js,jstests/core/profile_mapreduce.js,93,8
bench/wtperf/runners/test1-500m-lsm.wtperf,bench/wtperf/runners/test4-500m-lsm.wtperf,93,8
src/mongo/db/auth/auth_external_state_d.h,src/mongo/db/auth/auth_external_state_s.h,93,8
src/mongo/tools/mongoexport_options_test.cpp,src/mongo/tools/mongooplog_options_test.cpp,93,8
jstests/core/profile_delete.js,jstests/core/profile_group.js,93,8
src/mongo/tools/mongooplog_options_test.cpp,src/mongo/tools/mongotop_options_test.cpp,93,8
src/mongo/tools/mongorestore_options_test.cpp,src/mongo/tools/mongotop_options_test.cpp,93,8
src/mongo/tools/bsondump_options.cpp,src/mongo/tools/mongoimport_options.cpp,93,8
src/mongo/tools/mongoimport_options_test.cpp,src/mongo/tools/mongotop_options_test.cpp,93,8
src/mongo/tools/mongoexport_options_test.cpp,src/mongo/tools/mongorestore_options_test.cpp,93,8
jstests/core/profile_group.js,jstests/core/profile_mapreduce.js,93,8
jstests/concurrency/fsm_workloads/findAndModify_remove_queue.js,jstests/concurrency/fsm_workloads/findAndModify_update_queue.js,93,8
rpm/mongodb-org-unstable.spec,rpm/mongodb-org.spec,92,131
btree/c_drain.c,btree/c_server.c,92,93
btree/c_init.c,btree/c_sync.c,92,79
btree/c_page.c,btree/c_sync.c,92,79
btree/bt_cache.c,btree/c_sync.c,92,79
src/mongo/db/repl/repl_coordinator_legacy.h,src/mongo/db/repl/repl_coordinator_mock.cpp,92,79
src/mongo/db/repl/replication_coordinator_external_state.h,src/mongo/db/repl/replication_coordinator_external_state_mock.h,92,64
btree/bt_stat.c,btree/bt_walk.c,92,38
src/mongo/db/mongod_v8.vcxproj,src/mongo/db/mongod_v8.vcxproj.filters,92,35
src/mongo/db/repl/repl_coordinator_external_state.h,src/mongo/db/repl/repl_coordinator_external_state_mock.h,92,28
src/mongo/db/repl/repl_coordinator_external_state.h,src/mongo/db/repl/repl_coordinator_external_state_mock.cpp,92,28
src/mongo/db/audit.cpp,src/mongo/db/audit.h,92,26
src/mongo/dbtests/mock/mock_remote_db_server.cpp,src/mongo/dbtests/mock/mock_remote_db_server.h,92,13
src/mongo/db/structure/btree/btree_interface.cpp,src/mongo/db/structure/btree/btree_interface.h,92,13
src/mongo/s/query/router_stage_limit.cpp,src/mongo/s/query/router_stage_mock.h,92,7
src/mongo/s/request_types/commit_chunk_migration_request_test.cpp,src/mongo/s/request_types/commit_chunk_migration_request_type.cpp,92,7
src/mongo/db/auth/mechanism_scram.cpp,src/mongo/db/auth/mechanism_scram.h,92,7
src/mongo/executor/task_executor_test_fixture.cpp,src/mongo/executor/task_executor_test_fixture.h,92,7
src/mongo/db/query/collation/collation_spec.cpp,src/mongo/db/query/collation/collation_spec.h,92,7
src/mongo/client/query_fetcher.cpp,src/mongo/client/query_fetcher.h,92,7
src/mongo/util/periodic_runner_asio.cpp,src/mongo/util/periodic_runner_asio.h,92,7
src/mongo/db/structure/record_store_heap.cpp,src/mongo/db/structure/record_store_heap.h,92,7
src/mongo/db/pipeline/parsed_aggregation_projection.cpp,src/mongo/db/pipeline/parsed_aggregation_projection_test.cpp,92,7
jstests/multiVersion/dumprestore.js,jstests/multiVersion/dumprestore_sharded.js,92,7
src/mongo/s/query/router_stage_limit.cpp,src/mongo/s/query/router_stage_limit_test.cpp,92,7
src/mongo/db/repl/replication_process.cpp,src/mongo/db/repl/replication_process.h,92,7
src/mongo/db/commands/feature_compatibility_version_command_parser.cpp,src/mongo/db/commands/feature_compatibility_version_command_parser.h,92,7
debian/mongodb-enterprise-unstable.rules,debian/mongodb-enterprise.rules,92,7
src/mongo/s/request_types/commit_chunk_migration_request_type.cpp,src/mongo/s/request_types/commit_chunk_migration_request_type.h,92,7
src/mongo/db/fts/fts_basic_tokenizer.h,src/mongo/db/fts/fts_tokenizer.h,92,7
jstests/multiVersion/libs/causal_consistency_helpers.js,jstests/sharding/change_stream_update_lookup_collation.js,92,7
jstests/multiVersion/libs/causal_consistency_helpers.js,jstests/noPassthrough/change_streams_update_lookup_collation.js,92,7
jstests/ssl/mixed_mode_repl.js,jstests/ssl/mixed_mode_sharded.js,92,7
src/mongo/s/write_ops/batched_request_metadata.cpp,src/mongo/s/write_ops/batched_request_metadata_test.cpp,92,7
src/mongo/util/procparser.cpp,src/mongo/util/procparser_test.cpp,92,7
jstests/multiVersion/upgrade_cluster_v3_to_v4_wait_for_mongos.js,jstests/multiVersion/upgrade_cluster_v3_to_v4_with_parallel_ops.js,92,7
src/mongo/util/concurrency/synchronization.cpp,src/mongo/util/concurrency/synchronization.h,92,7
src/mongo/db/index_set.cpp,src/mongo/db/index_set.h,92,7
src/mongo/tools/mongofiles_options.cpp,src/mongo/tools/mongotop_options.cpp,92,7
src/mongo/tools/mongoimport_options.cpp,src/mongo/tools/mongotop_options.cpp,92,7
src/mongo/db/repl/freshness_scanner.h,src/mongo/db/repl/freshness_scanner_test.cpp,92,7
src/mongo/db/fts/stop_words_test.cpp,src/mongo/db/fts/tokenizer_test.cpp,92,7
src/mongo/s/write_ops/batched_request_metadata.cpp,src/mongo/s/write_ops/batched_request_metadata.h,92,7
src/mongo/db/auth/authz_session_external_state_s.cpp,src/mongo/db/auth/authz_session_external_state_s.h,92,7
src/mongo/util/options_parser/value.cpp,src/mongo/util/options_parser/value.h,92,7
src/mongo/tools/mongooplog_options.cpp,src/mongo/tools/mongotop_options.cpp,92,7
src/mongo/util/procparser.cpp,src/mongo/util/procparser.h,92,7
src/mongo/db/index_set.cpp,src/mongo/db/index_set_test.cpp,92,7
src/mongo/db/query/find_common.cpp,src/mongo/db/query/find_common.h,92,7
rpm/mongodb-enterprise-unstable.spec,rpm/mongodb-org-unstable.spec,91,135
